TJ번호,제목(원어),제목(한국어),발매일/커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,黒のバースデイ,검은 버스데이(birthday),2023-04-11,https://static.wikia.nocookie.net/bandori/images/f/fe/Kuro_no_Birthday_Cover.jpg/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=WIhtJ7eJ-oI,https://gall.dcinside.com/mgallery/board/view?id=bang_dream&no=4626925
,ふたつの月 ~Deep Into The Forest~,두 개의 달 ~Deep Into the Forest~,2023-04-17,https://static.wikia.nocookie.net/bandori/images/0/0d/Futatsu_no_Tsuki_~Deep_Into_The_Forest~_Cover.jpg/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=6USzFX8HnSY,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4816680
,Choir ‘S’ Choir,,2023-04-24,https://static.wikia.nocookie.net/bandori/images/8/81/Choir_%E2%80%98S%E2%80%99_Choir_Cover.jpg/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=7llj4mh4L-8,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4816686
,神さま、バカ,"신, 바보",2023-05-08,https://static.wikia.nocookie.net/bandori/images/a/a5/Kamisama%2C_Baka.png/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=OT9KqYBAkQc,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4823848
,Mas?uerade Rhapsody Re?uest,,2023-05-22,https://static.wikia.nocookie.net/bandori/images/5/55/Mas%3Fuerade_Rhapsody_Re%3Fuest.jpg/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=VLxM8q6PF4I,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4823859
,Ave Mujica,,2023-09-13,https://static.wikia.nocookie.net/bandori/images/3/34/Ave_Mujica_Game_Cover.png/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=QDsd0nyzwz0,https://gall.dcinside.com/mgallery/board/view?id=bang_dream&no=4738055
,素晴らしき世界 でも どこにもない場所,멋진 세계 그러나 어디에도 없는 곳,2023-12-30,https://static.wikia.nocookie.net/bandori/images/a/ac/Subarashiki_Sekai_demo_Dokonimonai_Basho_-_Blu-ray_Cover.jpg/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=MyI6sKuV4kY,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4831866
,Angles,,2024-01-07,https://static.wikia.nocookie.net/bandori/images/6/6a/Angles_-_Cover.jpg/,Ave Mujica,오리지널,https://www.youtube.com/watch?v=MbVgSM7Hhso,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4868140
,Symbol I: Fire,,2024-04-07,https://static.wikia.nocookie.net/bandori/images/e/e2/Symbol_I_%E2%96%B3_Cover.jpg,Ave Mujica,오리지널,https://www.youtube.com/watch?v=2O5C0mJx0Fs,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4909295&exception_mode=recommend&search_pos=-4868561&s_type=search_subject_memo&s_keyword=%EA%B0%80%EC%82%AC&page=1
,Symbol II: Air,,2024-05-18,https://static.wikia.nocookie.net/bandori/images/3/3e/Symbol_II_Air_Cover_Art.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=pMk3iHPlUaI,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4936932&exception_mode=recommend&search_pos=-4898561&s_type=search_subject_memo&s_keyword=%EA%B0%80%EC%82%AC&page=1
,Symbol III: Water,,2024-06-15,https://static.wikia.nocookie.net/bandori/images/5/51/Symbol_III_Water_Cover_Art.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=NB3PxWLn9v4,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4951801&exception_mode=recommend&search_pos=-4918561&s_type=search_subject_memo&s_keyword=%EA%B0%80%EC%82%AC&page=1
,Symbol IV: Earth,,2024-07-08,https://static.wikia.nocookie.net/bandori/images/5/5b/Symbol_IV_Earth_Cover_Art.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=SQ9OnNb3XuI,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4967058&exception_mode=recommend&s_type=search_subject_memo&s_keyword=%EA%B0%80%EC%82%AC&page=1
,Ether,,2024-08-30,https://static.wikia.nocookie.net/bandori/images/f/ff/Ether_Cover_Art.jpg,Ave Mujica,오리지널,https://www.youtube.com/watch?v=7lBrchCbCrs,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4999209
,KiLLKiSS,,2025-01-08,https://static.wikia.nocookie.net/bandori/images/3/3a/Ave_Mujica_2nd_Single_Blu-ray_Edition_Cover.jpg,Ave Mujica,오리지널,https://www.youtube.com/watch?v=RexyoaXaQ1o&ab_channel=AveMujica-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5073993
,"Georgette Me, Georgette You",,2025-01-15,https://static.wikia.nocookie.net/bandori/images/e/e7/Georgette_Me%2C_Georgette_You_Cover.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=vKDa7yfpd2M&ab_channel=AveMujica-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5128518
,Imprisoned XII,,2025-03-06,https://static.wikia.nocookie.net/bandori/images/3/30/Imprisoned_XII_Digital_Cover.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=0YNMV7xljD4&ab_channel=AveMujica,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5237529
,Crucifix X,,2025-03-06,https://static.wikia.nocookie.net/bandori/images/3/34/Crucifix_X_Digital_Cover.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=XP8al1l38Po&ab_channel=AveMujica,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5237563
,八芒星ダンス,팔망성 댄스 (하치보-세- 단스),2025-04-23,https://static.wikia.nocookie.net/bandori/images/9/97/Hachibousei_Dance_Game_Cover.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=tevtnb427Mw,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5339574
,顔,카오 (얼굴),2025-04-17,https://static.wikia.nocookie.net/bandori/images/e/e1/Kao_Game_Cover.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=Q4bt1L0GMRY&ab_channel=AveMujica-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5300162
,天球のMúsica,천구의 무지카 (소라노 무지카),2025-04-03,https://static.wikia.nocookie.net/bandori/images/7/75/Sora_no_M%C3%BAsica_Game_Cover.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=2Bo-ULStqLo&ab_channel=AveMujica,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5292184
,DIVINE,,2025-12-10,https://static.wikia.nocookie.net/bandori/images/e/e1/DIVINE_Cover.jpg/revision/latest?cb=20250804105435,Ave Mujica,오리지널,https://www.youtube.com/watch?v=6bA-vjvi9oI&ab_channel=AveMujica-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5558086
,碧い瞳の中に,푸른 눈동자 속에,2025-09-04,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/c42fc859-cdb1-4407-bcf6-105876e6c2f8.png,Ave Mujica,오리지널,https://www.youtube.com/watch?v=kVMuEQ3uXWc&ab_channel=AveMujica-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5633889
,"'S/' The Way",,2025-12-10,https://lh3.googleusercontent.com/Y2AyRMVMG7fwbxxSkbtrkSLfwVDnc_iGbd6No7WoiSzQZOH-kxqLJxDbvmy6b0Zptl1uiPu8BKAAtNXG,Ave Mujica,오리지널,https://youtu.be/L0Ou9IfobFQ?si=N2CKp2aukp2oIbi8,
,Sophie,,2025-12-10,https://lh3.googleusercontent.com/Y2AyRMVMG7fwbxxSkbtrkSLfwVDnc_iGbd6No7WoiSzQZOH-kxqLJxDbvmy6b0Zptl1uiPu8BKAAtNXG,Ave Mujica,오리지널,https://youtu.be/X10yO8-Yb44?si=6MadOEed2MCGBFdp,
26539,暗黒天国,암흑천국,2024-07-10,https://static.wikia.nocookie.net/bandori/images/b/b8/BanG_Dream%21_Cover_Collection_Extra_Volume_Regular_Edition_Cover.jpg,ALI PROJECT,커버,https://www.youtube.com/watch?v=4bDla3NCG70&list=OLAK5uy_mGqn6-7f07iFLbYPgPl--pDbyN5nNUCDg&index=4,https://blog.naver.com/theklf/100179671300
68688,堕天,타천,2024-07-10,https://static.wikia.nocookie.net/bandori/images/b/b8/BanG_Dream%21_Cover_Collection_Extra_Volume_Regular_Edition_Cover.jpg,Creepy Nuts,커버,https://www.youtube.com/watch?v=OWxJbFsmFSs&list=OLAK5uy_mGqn6-7f07iFLbYPgPl--pDbyN5nNUCDg&index=5,https://namu.wiki/w/%E5%A0%95%E5%A4%A9#s-3
28078,KINGS,,2024-07-10,https://static.wikia.nocookie.net/bandori/images/b/b8/BanG_Dream%21_Cover_Collection_Extra_Volume_Regular_Edition_Cover.jpg,angela,커버,https://www.youtube.com/watch?v=5-4ntBiwRf4&list=OLAK5uy_mGqn6-7f07iFLbYPgPl--pDbyN5nNUCDg&index=6,https://m.blog.naver.com/chtla29/50180068455
