TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,えがおのオーケストラっ！,웃는 얼굴의 오케스트라!,2017-08-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181126/76ad291e-f7e00644-d73f1e58-b407ae65.jpg,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=24Xzx6dH5tg,https://namu.wiki/w/%E3%81%88%E3%81%8C%E3%81%8A%E3%81%AE%E3%82%AA%E3%83%BC%E3%82%B1%E3%82%B9%E3%83%88%E3%83%A9%E3%81%A3%EF%BC%81
,ハピネスっ！ハピィーマジカルっ♪,해피니스! 해피 매지컬♪,2017-08-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181126/76ad291e-f7e00644-d73f1e58-b407ae65.jpg,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=wPDP9eT2-Cs,https://namu.wiki/w/%E3%83%8F%E3%83%94%E3%83%8D%E3%82%B9%E3%81%A3%EF%BC%81%E3%83%8F%E3%83%94%E3%82%A3%E3%83%BC%E3%83%9E%E3%82%B8%E3%82%AB%E3%83%AB%E3%81%A3%E2%99%AA
,ゴーカ！ごーかい！？ファントムシーフ！,호화! 호쾌!? 팬텀 시프!,2018-02-14,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181209/e6d7c3b2-17a053f0-3f9804e1-d97e4697.jpg,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=35xJFtwHx7Q,https://namu.wiki/w/%E3%82%B4%E3%83%BC%E3%82%AB%EF%BC%81%E3%81%94%E3%83%BC%E3%81%8B%E3%81%84%EF%BC%81%EF%BC%9F%E3%83%95%E3%82%A1%E3%83%B3%E3%83%88%E3%83%A0%E3%82%B7%E3%83%BC%E3%83%95%EF%BC%81
,YAPPY！SCHOOL CARNIVAL☆彡,,2018-02-14,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181209/e6d7c3b2-17a053f0-3f9804e1-d97e4697.jpg,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=xNA7DZfdstI,https://utaten.com/lyric/qk18015111/
,せかいのっびのびトレジャー！,세계로 쭉쭉 트레져!,2018-02-14,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181209/e6d7c3b2-17a053f0-3f9804e1-d97e4697.jpg,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=t-YRHYvIqEE,https://namu.wiki/w/%E3%81%9B%E3%81%8B%E3%81%84%E3%81%AE%E3%81%A3%E3%81%B3%E3%81%AE%E3%81%B3%E3%83%88%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%EF%BC%81
,キミがいなくちゃっ！,네가 꼭 필요해!,2018-12-05,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181406/6bc0cba9-0a75f5a6-e13b0a5e-a95663b4.png,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=9itZp8utiAw,https://namu.wiki/w/%E3%82%AD%E3%83%9F%E3%81%8C%E3%81%84%E3%81%AA%E3%81%8F%E3%81%A1%E3%82%83%E3%81%A3%EF%BC%81
,わちゃ・もちゃ・ぺったん行進曲,시끌・벅적・우당탕 행진곡,2018-12-05,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181406/6bc0cba9-0a75f5a6-e13b0a5e-a95663b4.png,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=Qq1_N9wKA0I,https://namu.wiki/w/%E3%82%8F%E3%81%A1%E3%82%83%E3%83%BB%E3%82%82%E3%81%A1%E3%82%83%E3%83%BB%E3%81%BA%E3%81%A3%E3%81%9F%E3%82%93%E8%A1%8C%E9%80%B2%E6%9B%B2
,ハイファイブ∞あどべんちゃっ,하이 파이브∞어드벤쳐,2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181449/09e57246-4b8400d8-f3c765b0-8201de92-630x630.png,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=_Smbu0U70Ko,https://namu.wiki/w/%E3%83%8F%E3%82%A4%E3%83%95%E3%82%A1%E3%82%A4%E3%83%96%E2%88%9E%E3%81%82%E3%81%A9%E3%81%B9%E3%82%93%E3%81%A1%E3%82%83%E3%81%A3
,ふわふわ☆ゆめいろサンドイッチ,푹신푹신☆꿈빛 샌드위치,2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181449/09e57246-4b8400d8-f3c765b0-8201de92-630x630.png,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=pAB-NYhMXFc,https://namu.wiki/w/%E3%81%B5%E3%82%8F%E3%81%B5%E3%82%8F%E2%98%86%E3%82%86%E3%82%81%E3%81%84%E3%82%8D%E3%82%B5%E3%83%B3%E3%83%89%E3%82%A4%E3%83%83%E3%83%81
,えがお･シング･あ･ソング,웃는 얼굴･싱･어･송,2019-08-21,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181522/0eae7bbc-aac0381b-2bd1f668-57f3c7f5.jpg,"헬로,해피월드!",오리지널,https://www.youtube.com/watch?v=B-I2KAxGKD8,https://namu.wiki/w/%E3%81%88%E3%81%8C%E3%81%8A%EF%BD%A5%E3%82%B7%E3%83%B3%E3%82%B0%EF%BD%A5%E3%81%82%EF%BD%A5%E3%82%BD%E3%83%B3%E3%82%B0
