TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,Daylight -デイライト-,Daylight -데이라이트-,2020-05-27,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181706/3684bd22-5c7d6d85-fe3f11d5-4f35267e.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=DhYniTbW2P0,https://namu.wiki/w/Daylight%20-%E3%83%87%E3%82%A4%E3%83%A9%E3%82%A4%E3%83%88-
,金色へのプレリュード,금빛의 프렐류드,2020-05-27,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181706/3684bd22-5c7d6d85-fe3f11d5-4f35267e.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=Qam2U-LF_Ks,https://namu.wiki/w/%E9%87%91%E8%89%B2%E3%81%B8%E3%81%AE%E3%83%97%E3%83%AC%E3%83%AA%E3%83%A5%E3%83%BC%E3%83%89
,ブルームブルーム,Bloom Bloom,2021-01-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181816/45a142a6-5110d5b7-66ff452d-8bdfa2cb.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=ulnZ8yiS7Jg,https://namu.wiki/w/%E3%83%96%E3%83%AB%E3%83%BC%E3%83%A0%E3%83%96%E3%83%AB%E3%83%BC%E3%83%A0
,flame of hope,,2021-01-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181816/45a142a6-5110d5b7-66ff452d-8bdfa2cb.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=4kLyLp8Oco0,https://namu.wiki/w/flame%20of%20hope
,ハーモニー・デイ,하모니 데이,2021-10-06,https://bang-dream.com/2025/renew/bd92302b-ad79-4ab9-ae53-b3c69349b334.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=NuhjVeWwvoM,https://namu.wiki/w/%E3%83%8F%E3%83%BC%E3%83%A2%E3%83%8B%E3%83%BC%E3%83%BB%E3%83%87%E3%82%A4
,Sonorous,,2021-10-06,https://bang-dream.com/2025/renew/bd92302b-ad79-4ab9-ae53-b3c69349b334.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=Wl5LZ3iJNzM,https://namu.wiki/w/Sonorous
,Fateful...,,2021-10-06,https://bang-dream.com/2025/renew/bd92302b-ad79-4ab9-ae53-b3c69349b334.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=RD_6TSNkxg0,https://namu.wiki/w/Fateful...
,fly with the night,,2022-03-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182032/f904f61f-61c615bb-83c4884d-fee5c172.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=DpnFf8UINbs,https://namu.wiki/w/fly%20with%20the%20night
,Secret Dawn,,2022-03-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182032/f904f61f-61c615bb-83c4884d-fee5c172.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=eWqv5RB6jng,https://namu.wiki/w/Secret%20Dawn
,"寄る辺のSunny, Sunny","의지하는 Sunny, Sunny",2022-09-14,https://bang-dream.com/2025/renew/7c52a715-c26a-451a-979e-bdbde217495f.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=6C4NOz-t3QA,https://namu.wiki/w/%E5%AF%84%E3%82%8B%E8%BE%BA%E3%81%AESunny%2C%20Sunny
,One step at a time,,2022-09-14,https://bang-dream.com/2025/renew/7c52a715-c26a-451a-979e-bdbde217495f.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=T_a1YLnxD50,https://namu.wiki/w/One%20step%20at%20a%20time
,The Circle Of Butterflies,,2023-03-15,https://bang-dream.com/2025/renew/ea484057-4c75-480e-a974-0b7b3adc12de.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=6jbetrvXxBI,https://namu.wiki/w/The%20Circle%20Of%20Butterflies
,メランコリックララバイ,멜랑콜릭 럴러바이,2023-03-15,https://bang-dream.com/2025/renew/ea484057-4c75-480e-a974-0b7b3adc12de.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=D_uUbtZUOPc,https://namu.wiki/w/%E3%83%A1%E3%83%A9%E3%83%B3%E3%82%B3%E3%83%AA%E3%83%83%E3%82%AF%E3%83%A9%E3%83%A9%E3%83%90%E3%82%A4
,カラフルリバティー,컬러풀 리버티,2023-03-15,https://bang-dream.com/2025/renew/ea484057-4c75-480e-a974-0b7b3adc12de.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=HqDa4NOAt8w,https://namu.wiki/w/%E3%82%AB%E3%83%A9%E3%83%95%E3%83%AB%E3%83%AA%E3%83%90%E3%83%86%E3%82%A3%E3%83%BC
,Sweet Cheers!,,2023-03-15,https://bang-dream.com/2025/renew/ea484057-4c75-480e-a974-0b7b3adc12de.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=e8IQBZMVIGw,https://namu.wiki/w/Sweet%20Cheers%21
,誓いのWingbeat,맹세의 Wingbeat,2023-03-15,https://bang-dream.com/2025/renew/ea484057-4c75-480e-a974-0b7b3adc12de.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=nnpD32__lAY,https://namu.wiki/w/%E8%AA%93%E3%81%84%E3%81%AEWingbeat
,Ever Sky Blue,,2023-03-15,https://bang-dream.com/2025/renew/ea484057-4c75-480e-a974-0b7b3adc12de.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=Ar7QtswUNGw,https://namu.wiki/w/Ever%20Sky%20Blue
,Angel's Ladder,,2025-03-12,https://bang-dream.com/2025/renew/b4291cb9-d4e2-4280-af2b-18648f40e203.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=QzMSltHeHTw,https://namu.wiki/w/Angel's%20Ladder(BanG%20Dream!)#s-3
,フレージング ミラージュ,프레이징 미라지,2023-12-06,https://bang-dream.com/2025/renew/b82806af-4410-471c-8953-5e3e78381d15.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=yuG78deMpUo,https://namu.wiki/w/%E3%83%95%E3%83%AC%E3%83%BC%E3%82%B8%E3%83%B3%E3%82%B0%20%E3%83%9F%E3%83%A9%E3%83%BC%E3%82%B8%E3%83%A5
,MUGEN Reverberate!,,2023-12-06,https://bang-dream.com/2025/renew/b82806af-4410-471c-8953-5e3e78381d15.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=B6602-OMtZI,https://namu.wiki/w/MUGEN%20Reverberate%21
,わたしまちがいさがし,나의 틀린그림찾기,2023-12-06,https://bang-dream.com/2025/renew/b82806af-4410-471c-8953-5e3e78381d15.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=mKGMgDGj0kQ,https://namu.wiki/w/%E3%82%8F%E3%81%9F%E3%81%97%E3%81%BE%E3%81%A1%E3%81%8C%E3%81%84%E3%81%95%E3%81%8C%E3%81%97
,esora no clover,,2023-12-06,https://bang-dream.com/2025/renew/b82806af-4410-471c-8953-5e3e78381d15.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=fGgKN9_egCM,https://namu.wiki/w/esora%20no%20clover
,きょうもMerry go rounD,오늘도 Merry go rounD,2023-12-06,https://bang-dream.com/2025/renew/b82806af-4410-471c-8953-5e3e78381d15.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=j4n8YgcCTFE,https://namu.wiki/w/%E3%81%8D%E3%82%87%E3%81%86%E3%82%82Merry%20go%20rounD
,両翼のBrilliance,양 날개의 Brilliance,2024-05-01,https://bang-dream.com/2025/renew/99ce873d-86e1-490d-8b12-9013a8ab15e7.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=4AoDp2E5mJk,https://namu.wiki/w/%E4%B8%A1%E7%BF%BC%E3%81%AEBrilliance
,音がえしのセレナーデ,음반환의 세레나데,2024-05-01,https://bang-dream.com/2025/renew/99ce873d-86e1-490d-8b12-9013a8ab15e7.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=sUaDAY9u4y8,https://namu.wiki/w/%E9%9F%B3%E3%81%8C%E3%81%88%E3%81%97%E3%81%AE%E3%82%BB%E3%83%AC%E3%83%8A%E3%83%BC%E3%83%87
,蒼穹へのトレイル,창궁으로의 트레일,2024-05-01,https://bang-dream.com/2025/renew/99ce873d-86e1-490d-8b12-9013a8ab15e7.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=eAjX1Ihvtac,https://namu.wiki/w/%E8%92%BC%E7%A9%B9%E3%81%B8%E3%81%AE%E3%83%88%E3%83%AC%E3%82%A4%E3%83%AB
,Tempest,,2024-10-09,https://bang-dream.com/2025/renew/f8666661-df9a-4391-974d-6cfb4c05417f.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=3TR0asiF9ik,https://namu.wiki/w/Tempest(BanG%20Dream!)
,Wreath of Brave,,2024-10-09,https://bang-dream.com/2025/renew/f8666661-df9a-4391-974d-6cfb4c05417f.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=5O3gAE65_34,https://namu.wiki/w/Wreath%20of%20Brave
,Polyphonyscape,,2025-03-12,https://bang-dream.com/2025/renew/b4291cb9-d4e2-4280-af2b-18648f40e203.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=inV8PDIgZDo,https://namu.wiki/w/Polyphonyscape
,Merry Merry Thanks!!,,2025-03-12,https://bang-dream.com/2025/renew/b4291cb9-d4e2-4280-af2b-18648f40e203.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=j3W3NHurJnk,https://namu.wiki/w/Merry%20Merry%20Thanks%21%21
,Steer to Utopia,,2025-03-12,https://bang-dream.com/2025/renew/b4291cb9-d4e2-4280-af2b-18648f40e203.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=wjpVRH7GOFc,https://namu.wiki/w/Steer%20to%20Utopia
,ティリカモニカリラ,틸리카 모니카릴라,2025-03-12,https://bang-dream.com/2025/renew/b4291cb9-d4e2-4280-af2b-18648f40e203.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=d32zOmV118k,https://namu.wiki/w/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%AB%E3%83%A2%E3%83%8B%E3%82%AB%E3%83%AA%E3%83%A9
,Feathered Dreams,,2025-08-27,https://bang-dream.com/2025/renew/2e2229d2-5f49-442e-b1ef-3ffbe76e64af.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=sAnwgtsAzs8,https://namu.wiki/w/Feathered%20Dreams
,Color of Us,,2025-08-27,https://bang-dream.com/2025/renew/2e2229d2-5f49-442e-b1ef-3ffbe76e64af.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=x9I1W3Aigrc,https://namu.wiki/w/Color%20of%20Us
,Portray Empathy,,2025-08-27,https://bang-dream.com/2025/renew/2e2229d2-5f49-442e-b1ef-3ffbe76e64af.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=A-8Ci-YRgjE,https://namu.wiki/w/Portray%20Empathy
,ビューティ・フォー,뷰티 포,2025-09-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17190057/e47c2c41-a4c1da06-d124c4fa-f8b742ae.jpg,ヒトリエ,타이업,https://www.youtube.com/watch?v=PtLt1G-Xcyg,https://gall.dcinside.com/mgallery/board/view?id=bang_dream&no=5655359
,Resonant Strings,,2026-04-22,https://bang-dream.com/2025/renew/2ae17cf1-8b57-423e-abb8-a133700ac3ed.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=cKAlPDZX-PY,https://namu.wiki/w/Resonant%20Strings
,Shining Leaves,,2026-04-22,https://bang-dream.com/2025/renew/2ae17cf1-8b57-423e-abb8-a133700ac3ed.jpg,Morfonica,오리지널,https://www.youtube.com/watch?v=HkruyxEhOPI,https://namu.wiki/w/Shining%20Leaves
,胡蝶翔る星月夜,나비 날아오르는 성월야,2026-05-07,https://bang-dream.com/wordpress/wp-content/uploads/2026/04/22182031/b328c6c2-35f1cb0e-ba13c9e1-d280c220.png,Morfonica,오리지널,https://www.youtube.com/watch?v=GOU_X0KK-jo,https://namu.wiki/w/%E8%83%A1%E8%9D%B6%E7%BF%94%E3%82%8B%E6%98%9F%E6%9C%88%E5%A4%9C
