TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,迷星叫,마요이우타 (미성규),2022-11-09,https://static.wikia.nocookie.net/bandori/images/0/0f/MyGO%21%21%21%21%21_1st_Single_Cover.jpg,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=w-Gvclnnfpc,https://m.dcinside.com/board/my_go/47
,名無声,나모나키 (명무성),2022-11-09,https://static.wikia.nocookie.net/bandori/images/7/72/Namonaki_Game_Cover.png,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=2mM64qcBYg8,https://m.dcinside.com/board/my_go/48
,影色舞,실루엣 댄스 (영색무),2022-11-23,https://static.wikia.nocookie.net/bandori/images/8/85/Silhouette_Dance.jpg,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=iFIXi6zzCls,https://m.dcinside.com/board/my_go/53
,潜在表明,잠재표명 (센자이효-메-),2022-12-25,https://static.wikia.nocookie.net/bandori/images/2/2c/Senzai_Hyoumei.jpg,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=bkUqxpb_vYY,https://m.dcinside.com/board/my_go/56
,音一会,오토이치에 (음일회),2023-04-12,https://static.wikia.nocookie.net/bandori/images/5/5b/MyGO%21%21%21%21%21_2nd_Single_Blu-ray_Edition_Cover.jpg,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=FlDoO0F4p44,https://m.dcinside.com/board/my_go/120
,無路矢,노로시 (무로시),2023-04-29,https://static.wikia.nocookie.net/bandori/images/0/00/Noroshi_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=s3BTDeNKufQ,https://m.dcinside.com/board/bang_dream/4659295
,壱雫空,"히토시즈쿠 (일하공, 한 방울)",2023-07-30,https://static.wikia.nocookie.net/bandori/images/9/9c/MyGO%21%21%21%21%21_3rd_Single_Blu-ray_Edition_Cover.jpg,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=cjyxTk_IfIY&list=PLymlIMt67vxXUakiJMJy5lK9vVmx1XPqL,https://m.dcinside.com/board/bang_dream/4674401
,栞,시오리 (책갈피),2023-08-09,https://static.wikia.nocookie.net/bandori/images/2/26/Shiori_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=wuUZjdiUCj0,https://m.dcinside.com/board/bang_dream/4674409
,春日影,"하루히카게 (춘일영, 봄볕)",2023-11-01,https://static.wikia.nocookie.net/bandori/images/e/e3/Haruhikage_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=-kZBuzsZ7Ho,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4781890&exception_mode=recommend&search_pos=-4742877&s_type=search_subject_memo&s_keyword=.E6.98.A5.E6.97.A5.E5.BD.B1&page=1
,焚音打,"타네비 (분음타, 불씨)",2023-08-09,https://static.wikia.nocookie.net/bandori/images/5/54/Tanebi_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=mNEbrOEoAHg,https://m.dcinside.com/board/bang_dream/4705687
,碧天伴走,벽천반주 (헤키텐반소-),2023-07-28,https://static.wikia.nocookie.net/bandori/images/3/37/Hekitenbansou_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=zsO9_fZP2Uc,https://m.dcinside.com/board/bang_dream/4695389
,詩超絆,우타코토바 (시초반),2023-08-18,https://static.wikia.nocookie.net/bandori/images/3/32/Utakotoba_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=wJ-OebTVyvk,https://m.dcinside.com/board/bang_dream/4715389?recommend=1
,迷路日々,멜로디 (미로일일),2023-09-01,https://static.wikia.nocookie.net/bandori/images/2/21/Melody_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=STgVa-reZkM,https://m.dcinside.com/board/bang_dream/4727030?recommend=1
,歌いましょう鳴らしましょう,"우타이마쇼- 나라시마쇼- (노래불러요 소리질러요)",2023-11-01,https://static.wikia.nocookie.net/bandori/images/c/c6/Utaimashou_Narashimashou_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=_0FI8xSgI1s,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4782173
,処救生,"코큐- (처구생, 호흡)",2023-11-19,https://static.wikia.nocookie.net/bandori/images/b/b6/Kokyuu_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=1_XZ0VJIpwI,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4796152
,輪符雨,"리프레인 (윤부우, Refrain)",2024-02-28,https://static.wikia.nocookie.net/bandori/images/6/6f/Refrain_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=xNF9semW-Ng,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4881211&search_pos=-4843202&s_type=search_subject_memo&s_keyword=%EB%A6%AC%ED%94%84%EB%A0%88%EC%9D%B8&page=1
,砂寸奏,"사스라이 (사촌주, 방랑)",2024-03-20,https://static.wikia.nocookie.net/bandori/images/0/0c/MyGO%21%21%21%21%21_4th_Single_Blu-ray_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=uiWLU577gYY,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4873455&exception_mode=recommend&search_pos=-4832708&s_type=search_subject_memo&s_keyword=%E7%A0%82%E5%AF%B8%E5%A5%8F&page=1
,回層浮,"카이소우 (회층부, 회상)",2024-03-20,https://static.wikia.nocookie.net/bandori/images/0/0c/MyGO%21%21%21%21%21_4th_Single_Blu-ray_Cover.jpg/revision/latest?cb=20240106123706,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=k5u1nueXES8,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4900929&exception_mode=recommend&s_type=search_name&s_keyword=%EC%9D%BC%EA%B9%8C%EB%82%98&page=1
,端程山,"파노라마 (단정산, Panorama)",2024-07-24,https://static.wikia.nocookie.net/bandori/images/0/0c/MyGO%21%21%21%21%21_4th_Single_Blu-ray_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=1c2uSrAGF9Q,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4977896
,孤壊牢,"코코로 (고괴뢰, 마음)",2024-07-24,https://static.wikia.nocookie.net/bandori/images/c/cd/MyGO%21%21%21%21%21_5th_Single_Regular_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=sXJAfhKiUAI,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4978205
,過惰幻,"아다유메 (과타환, 덧없는 꿈)",2024-09-28,https://static.wikia.nocookie.net/bandori/images/0/06/Adayume_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=aggmsIQMR4I,https://namu.wiki/w/%E9%81%8E%E6%83%B0%E5%B9%BB?uuid=a0838d24-8ff0-4023-9987-377322049ab5#s-3
,明弦音,"어게인 (명현음, Again)",2024-12-18,https://static.wikia.nocookie.net/bandori/images/e/e5/Mygo_2nd_Album_Regular_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=6sJ7vXe_oMU&ab_channel=MyGO%21%21%21%21%21-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5082256
,霧周途,"미스트 (무주도, Mist)",2024-11-02,https://static.wikia.nocookie.net/bandori/images/a/a9/Mist_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=qJPXncScNA4&ab_channel=MyGO%21%21%21%21%21-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5039996
,歩拾道,"스피드 (보습도, Speed)",2024-11-09,https://static.wikia.nocookie.net/bandori/images/b/b9/Speed_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=EEeYU4-dhZk&ab_channel=MyGO%21%21%21%21%21-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5077469
,夜隠染,"요카제 (야은염, 밤바람)",2024-12-18,https://static.wikia.nocookie.net/bandori/images/e/e5/Mygo_2nd_Album_Regular_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=7kPyHJ2SA9g&ab_channel=MyGO%21%21%21%21%21,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5082269
,聿日箋秋,"율일전추 (이치지츠센슈-, 일일천추)",2025-03-27,https://static.wikia.nocookie.net/bandori/images/9/9a/MyGO%21%21%21%21%21_6th_Single_Blu-ray_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=MaogbGr8Qhg&ab_channel=MyGO%21%21%21%21%21,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5291767
,掌心正銘,"장심정명 (쇼-신소-메-, 정진정명)",2025-04-23,https://static.wikia.nocookie.net/bandori/images/9/9c/MyGO%21%21%21%21%21_6th_Single_Regular_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=Aww91itH5cQ,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5339531
,残痕字,"페이지 (잔흔자, page)",2025-08-06,https://static.wikia.nocookie.net/bandori/images/0/0a/MyGO%21%21%21%21%21_7th_Single_Regular_Edition_Cover.jpg/revision/latest?cb=20250701112725,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=lfDO7bvUtn8&ab_channel=MyGO%21%21%21%21%21-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5563390
,往欄印,"오우라이 (왕란인, 왕래)",2025-08-06,https://static.wikia.nocookie.net/bandori/images/0/0a/MyGO%21%21%21%21%21_7th_Single_Regular_Edition_Cover.jpg/revision/latest?cb=20250701112725,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=JbSA9GjoUmU&ab_channel=MyGO%21%21%21%21%21,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5563025
