TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,Yes! BanG_Dream!,Yes! BanG_Dream!,2016-02-24,https://lh3.googleusercontent.com/n8lmCeZpYNRHvEHh3SNw9CwI7ErKgPdywBoa5B6c0W9TaVVwGKA9RV9L7IOvpWiI4cP9UU1Z3Yay9eKc,Poppin'Party,오리지널,https://www.youtube.com/watch?v=tBSpLDIqbHc,https://namu.wiki/w/Yes%21%20BanG_Dream%21
,夏空 SUN! SUN! SEVEN!,여름 하늘 SUN! SUN! SEVEN!,2016-02-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181020/8cb53bd2-d0301020-4aa6583c-80b6d9f6.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=AwmICsVBWLU,https://namu.wiki/w/%E5%A4%8F%E7%A9%BA%20SUN%21%20SUN%21%20SEVEN%21
,STAR BEAT!～ホシノコドウ～,STAR BEAT! ~별의 고동 소리~,2016-08-03,https://lh3.googleusercontent.com/8x9TC5L7Y1BKTzP0Fsc9LLTVjQEazA0_UP0PYjV2zC9ah_mVA7d4SNI6voBng1Ttk17M-MPsKplqf68,Poppin'Party,오리지널,https://www.youtube.com/watch?v=RtKwXh18gkc,https://namu.wiki/w/STAR%20BEAT%EF%BC%81%E3%80%9C%E3%83%9B%E3%82%B7%E3%83%8E%E3%82%B3%E3%83%89%E3%82%A6%E3%80%9C
,1000回潤んだ空,1000번 눈물 지은 하늘,2016-08-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181024/ea801c04-3946b764-977238c0-289e2fd9.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=b-ZAiNOYtE0,https://namu.wiki/w/1000%E5%9B%9E%E6%BD%A4%E3%82%93%E3%81%A0%E7%A9%BA
,走り始めたばかりのキミに,이제 막 달리기 시작한 너에게,2016-12-07,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181028/bce61432-0d91ca00-71684b1c-b79a1858.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=pBKo-SAbtcM,https://namu.wiki/w/%E8%B5%B0%E3%82%8A%E5%A7%8B%E3%82%81%E3%81%9F%E3%81%B0%E3%81%8B%E3%82%8A%E3%81%AE%E3%82%AD%E3%83%9F%E3%81%AB
,ティアドロップス,티어 드롭스,2016-12-07,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181028/bce61432-0d91ca00-71684b1c-b79a1858.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=lOE3DB6Ur4A,https://namu.wiki/w/%E3%83%86%E3%82%A3%E3%82%A2%E3%83%89%E3%83%AD%E3%83%83%E3%83%97%E3%82%B9
,ぽっぴん’しゃっふる,팝핀 셔플,2016-12-07,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181028/bce61432-0d91ca00-71684b1c-b79a1858.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=FNpk2rkmT_U,https://namu.wiki/w/%E3%81%BD%E3%81%A3%E3%81%B4%E3%82%93%27%E3%81%97%E3%82%83%E3%81%A3%E3%81%B5%E3%82%8B
,ときめきエクスペリエンス！,두근두근 익스피리언스!,2017-02-01,https://lh3.googleusercontent.com/oqAco_WFF8YRvY5Onkt1q1kyaRRbV4RYGaE_YBP4_9oBftRRWxfwtJ6wMXQTwlE6Q4vJ8kZhQdyScPdz,Poppin'Party,오리지널,https://www.youtube.com/watch?v=OqN-TbVubpA,https://namu.wiki/w/%E3%81%A8%E3%81%8D%E3%82%81%E3%81%8D%E3%82%A8%E3%82%AF%E3%82%B9%E3%83%9A%E3%83%AA%E3%82%A8%E3%83%B3%E3%82%B9%EF%BC%81
,キラキラだとか夢だとか ～Sing Girls～,반짝임이나 꿈이나 ~Sing Girls~,2017-02-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181038/c2625b72-ab1b6b87-07db6f09-a680094f.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=4YrfrDTabQk,https://namu.wiki/w/%E3%82%AD%E3%83%A9%E3%82%AD%E3%83%A9%E3%81%A0%E3%81%A8%E3%81%8B%E5%A4%A2%E3%81%A0%E3%81%A8%E3%81%8B%20~Sing%20Girls~
,Happy Happy Party!,Happy Happy Party!,2017-02-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181038/c2625b72-ab1b6b87-07db6f09-a680094f.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=c0brvCZdxeg,https://namu.wiki/w/Happy%20Happy%20Party%21
,どきどきSING OUT!,두근두근 SING OUT!,2017-04-05,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181050/8663b570-6b6e808a-b93df587-e2f8f7cf.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=Y-tnOBf-byo,https://namu.wiki/w/%E3%81%A9%E3%81%8D%E3%81%A9%E3%81%8DSING%20OUT%21
,前へススメ！,앞으로 나아가자!,2017-05-10,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181058/f6ebe7fa-c6ed9343-7a74f4a9-eff63998.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=3ugLz4FMdeI,https://namu.wiki/w/%E5%89%8D%E3%81%B8%E3%82%B9%E3%82%B9%E3%83%A1%EF%BC%81
,夢みるSunflower,꿈꾸는 Sunflower,2017-05-10,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181058/f6ebe7fa-c6ed9343-7a74f4a9-eff63998.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=yQ0ebf3C1zM,https://namu.wiki/w/%E5%A4%A2%E3%81%BF%E3%82%8BSunflower
,花園電気ギター！！！,하나조노 전기 기타!!!,2017-06-21,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181102/a09942f8-ff481da9-f7653d03-6dcf6331.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=Fb6Vxj--Fq4,https://namu.wiki/w/%E8%8A%B1%E5%9C%92%E9%9B%BB%E6%B0%97%E3%82%AE%E3%82%BF%E3%83%BC%21%21%21
,チョコレイトの低音レシピ,초콜릿의 저음 레시피,2017-06-21,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181114/5ccae501-bdb9e62d-b2407b2c-7a0d0455.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=pbDiKPBuTsc,https://namu.wiki/w/%E3%83%81%E3%83%A7%E3%82%B3%E3%83%AC%E3%82%A4%E3%83%88%E3%81%AE%E4%BD%8E%E9%9F%B3%E3%83%AC%E3%82%B7%E3%83%94
,遠い音楽 ～ハートビート～,먼 음악 ~하트비트~,2017-07-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181118/93eec21b-490760a8-a008d5d5-e603f8dc.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=jTSPnt5kts0,https://namu.wiki/w/%E9%81%A0%E3%81%84%E9%9F%B3%E6%A5%BD%20~%E3%83%8F%E3%83%BC%E3%83%88%E3%83%93%E3%83%BC%E3%83%88~
,す、好きなんかじゃない！,"조, 좋아하는 거 아니야!",2017-07-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181123/2937702e-d1fea3eb-0f0fe326-77746487.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=vdYlI5BnvPk,https://namu.wiki/w/%E3%81%99%E3%80%81%E5%A5%BD%E3%81%8D%E3%81%AA%E3%82%93%E3%81%8B%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%EF%BC%81
,Time Lapse,Time Lapse,2017-09-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181133/ba090d26-badda124-c0d984e1-92bf7362.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=ap3LhZJvbiw,https://namu.wiki/w/Time%20Lapse
,八月のif,8월의 if,2017-09-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181133/ba090d26-badda124-c0d984e1-92bf7362.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=y_wsqM33BaY,https://namu.wiki/w/%E5%85%AB%E6%9C%88%E3%81%AEif
,夏のドーン！,여름의 펑!,2017-09-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181133/ba090d26-badda124-c0d984e1-92bf7362.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=xtgdECulbbw,https://namu.wiki/w/%E5%A4%8F%E3%81%AE%E3%83%89%E3%83%BC%E3%83%B3%EF%BC%81
,クリスマスのうた,크리스마스의 노래,2017-12-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181149/dcc1223e-8d147952-f19d608b-90b3fcc7.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=EMwYk4qPK1k,https://namu.wiki/w/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%81%AE%E3%81%86%E3%81%9F
,B.O.F,B.O.F,2017-12-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181149/dcc1223e-8d147952-f19d608b-90b3fcc7.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=dW25FkbQC58,https://namu.wiki/w/B.O.F
,キミにもらったもの,너에게 받은 것,2017-12-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181149/dcc1223e-8d147952-f19d608b-90b3fcc7.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=gu85qKfXfj8,https://namu.wiki/w/%E3%82%AD%E3%83%9F%E3%81%AB%E3%82%82%E3%82%89%E3%81%A3%E3%81%9F%E3%82%82%E3%81%AE
,CiRCLING,CiRCLING,2018-03-21,https://lh3.googleusercontent.com/PnqRIBHBn4DDgpYHG7L8ALe6yuKNEPq4yo_j1qDoVDDrHoxCz27KNIwf2kaday_OqulHkzBIvzFMzbY3,Poppin'Party,오리지널,https://www.youtube.com/watch?v=Zj4qzqS--UY,https://namu.wiki/w/CiRCLING
