TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,夢現妄想世界,몽현망상세계(무한 마이 월드),2023-11-21,https://static.wikia.nocookie.net/bandori/images/2/26/Mugen_My_World_Cover_Art.png/revision/latest/scale-to-width-down/1000?cb=20231128150711,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=GB2MEvY2sQk&ab_channel=%E5%A4%A2%E9%99%90%E5%A4%A7%E3%81%BF%E3%82%85%E3%83%BC%E3%81%9F%E3%81%84%E3%81%B7,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=4798193
,ビッグマウス,빅 마우스(Big Mouth),2024-02-24,https://static.wikia.nocookie.net/bandori/images/c/c6/Big_Mouth_Cover_Art.png/revision/latest?cb=20240224082357,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=z1ga6_4K2io&ab_channel=%E5%A4%A2%E9%99%90%E5%A4%A7%E3%81%BF%E3%82%85%E3%83%BC%E3%81%9F%E3%81%84%E3%81%B7,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=4875867
,限界現実サバイブ天使,한계 현실 Survive 천사,2024-04-13,https://static.wikia.nocookie.net/bandori/images/6/6c/GGST_Digital_Cover.png/revision/latest?cb=20240414162813,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=W4ib6g0KeZI&pp=ygUpeXVtZW1pdGEgICDpmZDnlYznj77lrp_jgrXjg5DjgqTjg5blpKnkvb8%3D,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=4944247
,エンプティパペット,Empty Puppet,2024-06-01,https://static.wikia.nocookie.net/bandori/images/e/e6/Empty_Puppet_Cover.png/revision/latest?cb=20240531231635,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=A3lRSM6v44c&pp=ygUmeXVtZW1pdGEgICDjgqjjg7Pjg5fjg4bjgqPjg5Hjg5rjg4Pjg4g%3D,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=4978243
,✞animaるパーティ✞開催中✞,✞아니마루 파티✞개최중✞,2024-08-03,https://static.wikia.nocookie.net/bandori/images/a/a2/Start_Line_Cover_Art.png/revision/latest?cb=20240607122229,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=EvbVMKvTY4U&pp=ygUueXVtZW1pdGEgICDinJ5hbmltYeOCi-ODkeODvOODhuOCo-KcnumWi-WCrOS4rQ%3D%3D,https://namu.wiki/w/%E2%9C%9Eanima%E3%82%8B%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3%E2%9C%9E%E9%96%8B%E5%82%AC%E4%B8%AD%E2%9C%9E#toc
,コミュ着火Fire!,커뮤착화 파이어!,2024-12-25,https://static.wikia.nocookie.net/bandori/images/f/f1/Mugendai_Mewtype_1st_Single_Cover.jpg/revision/latest/scale-to-width-down/1000?cb=20240824103922,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=rfA_P10FGQQ&pp=ygUeeXVtZW1pdGEgICDjgrPjg5_jg6XnnYDngatGaXJl,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=5089777
,コハク,코하쿠(호박),2024-08-26,https://static.wikia.nocookie.net/bandori/images/8/8c/Kohaku_Cover.png/revision/latest/scale-to-width-down/1000?cb=20240824180920,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=dkeX5Qy_ths&ab_channel=%E5%A4%A2%E9%99%90%E5%A4%A7%E3%81%BF%E3%82%85%E3%83%BC%E3%81%9F%E3%81%84%E3%81%B7,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=4999629
,新人類は仮想世界の夢を見るか？,신인류는 가상세계의 꿈을 꾸는가?,2024-08-28,https://static.wikia.nocookie.net/bandori/images/c/cd/Newtype_wa_Virtual_no_Yume_wo_Miru_ka%3F_Cover.jpg/revision/latest/scale-to-width-down/1000?cb=20241028190631,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=_awcveMOhc0&ab_channel=%E5%A4%A2%E9%99%90%E5%A4%A7%E3%81%BF%E3%82%85%E3%83%BC%E3%81%9F%E3%81%84%E3%81%B7,https://namu.wiki/w/%E6%96%B0%E4%BA%BA%E9%A1%9E%E3%81%AF%E4%BB%AE%E6%83%B3%E4%B8%96%E7%95%8C%E3%81%AE%E5%A4%A2%E3%82%92%E8%A6%8B%E3%82%8B%E3%81%8B%3F#toc
,YoU kNOw the overture,,2024-12-27,https://static.wikia.nocookie.net/bandori/images/a/a5/YoU_kNOw_the_overture_Cover.png/revision/latest/scale-to-width-down/1000?cb=20241227084108,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=UWHzX6SpizM&pp=ygUgeXVtZW1pdGEgICBZb1Uga05PdyB0aGUgb3ZlcnR1cmU%3D,https://namu.wiki/w/YoU%20kNOw%20the%20overture#toc
,Hi-Vision,,2025-04-30,https://static.wikia.nocookie.net/bandori/images/6/6a/Mugendai_Mewtype_2nd_Single_Cover.jpg/revision/latest?cb=20250216150547,무한대뮤타입,오리지널,https://www.youtube.com/watch?v=2ecjo9jpoPM&ab_channel=%E5%A4%A2%E9%99%90%E5%A4%A7%E3%81%BF%E3%82%85%E3%83%BC%E3%81%9F%E3%81%84%E3%81%B7,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=5359288
